losses/action_loss,losses/dist_entropy,losses/reward_model_loss,losses/transition_model_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
2.1386640987152026e-05,2.7080494032965765,3737.596693250868,0.01886777696199715,0.6276031682888666,4.1,3.5,1.5,2.0,0,16384
-0.0014662805220319165,2.6535331871774464,3.473290310965644,0.020575663540512323,0.15629948530760077,3.1,3.0,4.4,4.0,10,180224
-0.0006107645717242525,2.651740974850125,4.103853066762288,0.00988939986564219,0.11669542909496361,6.2,2.5,5.3,5.5,20,344064
-0.001348286149247239,2.6707686715655856,4.026606612735325,0.006835857289843261,0.10413261151148213,4.3,3.0,4.9,4.0,30,507904
-0.0002542199023688833,2.6588038007418313,4.452370113796658,0.005931288391972582,0.08478099583751625,4.9,4.5,5.5,3.0,40,671744
-0.0013810200228666265,2.6598565578460693,6.686462097697788,0.006151595139979488,0.04924810719158915,5.3,5.0,4.4,3.0,50,835584
-0.0008479978229540089,2.6883882549073963,5.555716382132636,0.004702469411616524,0.03830176985098256,3.9,4.0,5.8,5.5,60,999424
-0.0007087011925048298,2.6876409318712025,5.500565807024638,0.003850678706334697,0.04174663902570804,4.9,4.0,5.1,4.5,70,1163264
-0.001872379607650348,2.6669534312354193,5.483102348115709,0.003652011231881463,0.03643917701103621,4.7,5.0,3.6,3.5,80,1327104
-0.0015549187761886667,2.6739083329836526,5.210236880514357,0.0034572574659250677,0.04602140891883108,5.2,4.5,2.7,2.0,90,1490944
-0.0003334153488039091,2.6723780963155956,3.946613457467821,0.0027113992061155536,0.046296762509478465,6.3,6.0,6.5,4.0,100,1654784
-0.0013259009736227905,2.6362384955088296,6.099927438629998,0.005591009109694924,0.05378862035771211,4.0,2.5,3.9,3.5,110,1818624
-0.0016160828527063131,2.6120848655700684,6.112279838985867,0.00839745249443998,0.0526218604710367,2.8,2.0,6.2,5.0,120,1982464
