losses/action_loss,losses/dist_entropy,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-0.0012203578953631222,2.7072479029496512,0.6196507029235363,5.0,4.5,1.0,1.0,0,16384
-0.0013262003388566275,2.5961958964665732,0.11486954987049103,4.0,3.5,3.5,3.0,10,180224
-0.0006458105247778197,2.6492472887039185,0.14424425270408392,4.8,5.0,4.9,5.0,20,344064
-0.002725349389947951,2.604677051305771,0.044254434294998646,2.7,2.5,4.8,4.0,30,507904
-0.002165101235732436,2.604930301507314,0.04185986053198576,2.9,2.0,2.7,2.0,40,671744
-0.002872694293425108,2.629653811454773,0.050903604831546545,4.4,5.0,3.3,2.5,50,835584
-0.0034253509365953505,2.6121339996655784,0.05645336133117477,4.3,4.0,4.8,4.0,60,999424
